date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2019-03-11, Utalk,,Current Employee ,Student Caller at UTalk call center,Less than a year,0,"Great hours, Flexible hours, weekends off","Boring, repetitive work. Poor management",,5.0,,,,,
2019-03-12, Graduate Research Assistant,,Current Employee ,Salary,More than 3 years,0,"good environment, bonus, good test equipment","hot summer, sometimes you have to walk through the building under extremely hot sunshine.",,5.0,5.0,4.0,4.0,4.0,4.0
2019-03-22, Coordinator,,Current Employee ,Great benefits but low pay,More than 5 years,0,Great benefits. Exciting to work in educational environment.,Facilities can often be run down and everything seems to be done on a shoestring budget unless you're in a high profile brand new building. Pay is at low end.,,3.0,5.0,4.0,3.0,5.0,4.0
2019-03-07, Office Assistant,"Austin, TX",Former Employee ,Great environment,More than a year,0,Friendly people and flexible work environment,Can't think of anything negative,,5.0,5.0,5.0,5.0,5.0,5.0
2019-03-08,,,Current Employee ,Extremely structured and still had a community feel.,,0,Great for students who live on or near campus. An extremely non-judgemental environment.,Strict rules keep guards from removing patrons.,,5.0,,,,,
2019-03-06, Visual Designer,,Current Employee ,Fulfilling and Perks are Great,More than 3 years,0,Great insurance and company culture,bureaucracy is difficult to navigate through vs. the world of consulting,,5.0,4.0,5.0,3.0,5.0,5.0
2019-03-06, Visual Designer,,Current Employee ,Fulfilling and Perks are Great,More than 3 years,0,Great insurance and company culture,bureaucracy is difficult to navigate through vs. the world of consulting,,5.0,4.0,5.0,3.0,5.0,5.0
2019-03-20, Assistant Director,"Austin, TX",Current Employee ,work environment varies based on department,More than 3 years,0,"good benefits, slower-pace work environment, low stress","large, bureaucratic, and inefficient; excessive tiered rules and regulations (at university, state, and federal levels) preventing many activities; hard to implement new ideas and initiatives; many employees are disengaged.","invest in working environment and office culture to improve employee morale and engagement at work (i.e. regular team building exercises, staff appreciation lunch, etc.)",4.0,5.0,2.0,4.0,4.0,4.0
2019-03-04, Lifeguard,"Austin, TX",Former Employee ,Good work/school balance,More than a year,0,Good pay and easy job for students on campus.,"Occasionally difficult to get shifts picked up, some shifts are either early in the morning, late at night, on the weekend, or some combination of the three.",Y'all are doing fine.,5.0,5.0,5.0,5.0,5.0,4.0
2019-03-05,,,Current Employee ,Great place,Less than a year,0,"Great location
Great City
Lots of fun people
tuition reduction is incredible",The weather is a lot of hot,,5.0,5.0,5.0,5.0,4.0,4.0
2019-03-18, Undergraduate Academic Coordinator,"Austin, TX",Current Employee ,Undergrad advising and program coordinating,More than 3 years,0,"Great benefits, fun city and campus, autonomy in position","Limited growth (lateral movements), low pay, limited bonuses/raises",,4.0,4.0,3.0,3.0,3.0,3.0
2019-04-08,,"Austin, TX",Former Employee ,Some offices on campus are great but the International Office was not,Less than a year,0,The other staff members in the department were nice.,I observed that leadership have very little regard for student satisfaction and service in the International Office. Employees are not priority either.,,1.0,,,,,
2019-03-15,,,Current Employee ,Great Company,More than 5 years,0,"Great environment to work with, good benefits",policies and procedures slow down business,,4.0,5.0,4.0,4.0,5.0,5.0
2019-02-27, Student,"Austin, TX",Current Employee ,Student at UT Austin,More than a year,0,A super amazing campus filled with interesting activities and even more amazing people.,Can get kind of overwhelming because its a huge campus,,5.0,,,,,
2019-02-25, Grader,,Current Employee ,Wonderful University,Less than a year,0,"Great people, high standards, innovative programs",I have not encountered any negative issues,,5.0,5.0,,,,
2019-02-26, Student Manager,,Current Employee ,Great Student Job,More than 3 years,0,"- great perks working for athletics
- tons of gear",- not the best pay based on hours worked,,5.0,5.0,5.0,5.0,,
2019-02-21, Student,,Former Employee ,Good place to learn,,0,Great school with great culture,"Too big in some aspects, such as many introductory classes",,5.0,,,,,
2019-02-19,,,Current Employee ,Good,,0,Great healthcare for being a student employee,Pay for grad students does not increase over the years. You are stuck with whatever offer you get. Only extra income come from grants and fellowships.,,5.0,,,,,
2019-02-19, Resident Assistant,"Austin, TX",Former Employee ,good job,More than a year,0,"flexible hours, and good coworkers.",closing time at the end of the semester gets hectic.,,5.0,5.0,5.0,2.0,3.0,5.0
2019-02-16,,,Current Employee ,Great school!,More than 3 years,0,The faculty and research are amazing.,None that I can think of.,,5.0,,,,,
2019-02-28, Teaching Assistant,"Austin, TX",Current Employee ,UT Austin Teaching Assistant Review,,0,Helps with the financial load for higher education,Not really sufficient for living,,3.0,3.0,3.0,2.0,3.0,3.0
2019-02-13,,,Current Employee ,Good place,,0,Lots of opportunities to collaborate with people of different expertise,Hours are longer than a usual part time job,,5.0,,,,,
2019-02-26, Student Associate,,Current Employee ,Great Campus and Nice Benefits,More than a year,0,"Decent Benefits, Ample Training Opportunities",Pay is not always competitive within the Austin job market.,"Work is unequally distributed within offices and units across the University. Too often, good employees are forced to pick up the slack for lazy, incompetent employees. Identify weak links earlier, it will save time, money, and paperwork",4.0,4.0,3.0,3.0,3.0,4.0
2019-02-11, Administrative Associate,"Austin, TX",Former Employee ,"Great benefits, work environment.",More than a year,0,"Great benefits, upward mobility, and work-life balance.",Pay is not competitive.,,5.0,5.0,5.0,5.0,4.0,4.0
2019-02-09, Student Associate,,Former Employee ,Student Associate,Less than a year,0,Great learning skills for the office world.,No negative comments from me!,,5.0,,,,,
2019-02-22, AV Tech,,Current Employee ,"Decent pay, good job",More than a year,0,Good place to work as UT cares about its employees,"Benefits are not that great, but its expected",,4.0,4.0,5.0,3.0,1.0,4.0
2019-02-23,,,Current Employee ,Have a great time working here,,0,"Friendly, Enjoyable environment, good compensation","none, none, none, none, none",,4.0,,,,,
2019-02-21, Cashier III,"Austin, TX",Current Employee ,Sufficient.,More than 3 years,0,"Stable, manageable, has good health benefits.","Bureaucratic, misguided, boring, and disorganized.",Lower management is often focused very hard on topics irrelevant to department functioning.,3.0,,,,,
2019-02-06,,,Current Employee ,Student,,0,Great educational institute and staff,Highly competitive and may be tough at times,,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-07, Undergraduate Researcher,"Austin, TX",Current Employee ,Very insightful and fullfolling experience,More than 3 years,0,"Gpod opportunity to learn the process of research, and get exposure to graduate level study.","Lack of autonomy in research projects, although that is to be expected.",Keep up the good work!,5.0,5.0,5.0,5.0,5.0,5.0
2019-02-21, Research Associate,"Austin, TX",Current Employee ,Great entry level job,More than a year,0,working around very intelligent people doing very important things,Bureaucratic red tape that comes along with being employed by such a huge university.,,4.0,4.0,4.0,3.0,5.0,3.0
2019-02-19, Graduate Research Assistant,"Austin, TX",Current Employee ,GRA salaires at UT,Less than a year,0,Do not need to spend too much time,The salary is a bit low,,4.0,,,,,
2019-02-04, Graduate Research Assistant,"Austin, TX",Current Employee ,Good place to pursue post graduate degree,More than 3 years,0,UT Austin is a good place to pursue post graduate degree,Salary is a little low compared to other schools,,5.0,3.0,5.0,5.0,3.0,3.0
2019-02-18, Teaching Assistant,,Current Employee ,great place to be a grad student,More than 3 years,0,great community flexible supportive friendly,could pay more employment not guaranteed,,4.0,3.0,3.0,3.0,3.0,3.0
2019-02-18, Assistant Instructor,,Current Employee ,Assistant Instructor,More than 3 years,0,I've had the opportunity to develop the course that I teach.,I don't have any control over size of my class and at this point it's 60 to 1.,,4.0,,,,,
2019-02-04, Library Associate,"Austin, TX",Current Employee ,Good for students who is looking for some extra money and work experience,More than a year,0,The library associate jobs are mostly filled with students. The workload is not too high and the work environment is friendly. I think it is very good for students to gain some work experience here.,"As you may expect from a typical work-study job, the pay is not high. However, given that the workload is not too high, I think the pay is fair enough.",,5.0,5.0,5.0,4.0,4.0,5.0
2019-02-02, Office Assistant,,Former Employee ,Fun employment,More than 3 years,0,"Inclusive environment, different daily job expectations, events and opportunities.","Low pay, some departments overworked",,5.0,4.0,5.0,4.0,3.0,4.0
2019-02-15, Research Scientist,"Austin, TX",Current Employee ,University of Texas,More than 10 years,0,"Well paid, good offices, central location",Bureaucratic; Faculty focused; traffic becoming a problem,,4.0,2.0,3.0,4.0,5.0,2.0
2019-01-31, Ambassador,,Former Employee ,"Great job, fun work!",More than a year,0,Talking to customers at the desk is fun. Making decorations is fun. Its a nice job.,The hours can be late.,,5.0,,,,,
2019-01-31, Teaching Assistant,,Current Employee ,Teaching Assistant,More than a year,0,"Tuition reduction, health insurance, good working environment, nice professors and students",Workload could be pretty heavy during the exam periods,,5.0,5.0,5.0,4.0,4.0,4.0
2019-02-15,,,Former Employee ,Benfits,,0,Good not great. Also benefiting from being a state's employee.,I did not have any cons for this job.,,4.0,,,,,
2019-01-31, Editor IV,"Austin, TX",Former Employee ,Great Careers here,More than 10 years,0,"brilliant, dedicated professionals; service to community; international contacts, diversity; continuing education; feel great about your mission; stability",state jobs may compensate less in salary than corporate jobs,"always stay open to change, look for ways to encourage younger staff to choose UT for their career job",5.0,5.0,5.0,5.0,5.0,5.0
2019-01-29, Event Coordinator,,Current Employee ,Loved it!,,0,"Loved working with students, faculty, and staff","parking? There aren't many options for advancement within departments, but that is to be expected.",Keep up the great work!,5.0,,,,,
2019-01-27, Research Associate,"Austin, TX",Current Employee ,Great work environment and culture,More than a year,0,"Culture, environment, stability, ability to set schedules, etc.",Maybe too little control and guidance,,5.0,5.0,5.0,5.0,4.0,5.0
2019-02-10, Graduate Research Assistant,"Austin, TX",Current Employee ,rough but ultimately worth it,More than 5 years,0,Good career options once you graduate.,Grad school is a grind and not for everybody,,3.0,1.0,3.0,5.0,2.0,2.0
2019-01-22, Graduate Research Assistant,"Austin, TX",Current Employee ,Graduate research asssitant in WNCG in Electrical Engineering,More than 3 years,0,"Cheap city, excellent faculty, excellent reputation","competitive, no work life balance, lack of relevant coursework",,5.0,3.0,5.0,5.0,5.0,4.0
2019-02-04,,,Former Employee ,Nice part time job,Less than a year,0,You can engage with freshman and many of staff members at UT,Limited slots per every week,,3.0,,,,,
2019-01-16, Graduate Researcher,,Former Employee ,Austin is so nice yes,,0,I liked it a lot it was fun,They don't pay much for the grad students.,none,5.0,4.0,5.0,1.0,5.0,5.0
2019-01-16, Graduate Research Assistant,"Austin, TX",Former Employee ,Good place to practice you skills,Less than a year,0,The professors here are really nice and the work is not that hard.,Sometimes it may take a longer time than you must do to finish your job.,,5.0,3.0,5.0,5.0,2.0,5.0
2019-01-29,,,Current Employee ,Good part time experience,,0,"Flexible, Great staff, Good hours, accomodating",Lot of applicants. Desk can get busy,,4.0,,,,,
2019-01-30, Digital Content Specialist,"Austin, TX",Current Employee ,Great place but has cons too,More than 5 years,0,"Great benefits, depending on your department - flexibility",Lack of diversity. Not many opportunities to grow within your department - higher salaries/better titles are earned by going to another department,,3.0,3.0,2.0,3.0,4.0,3.0
2019-01-28, Lead Preschool Teacher,,Current Employee ,UTCDC,Less than a year,0,Love the children and coworkers,Class size is too large,,3.0,,,,,
2019-01-28,,"Austin, TX",Former Employee ,Good place to work at,More than 3 years,0,"Flexible in time, balance work and family",Less stability if your salary depends on your boss's grant,,3.0,3.0,3.0,2.0,3.0,2.0
2019-01-14, Graduate Research/Teaching Assistant,"Austin, TX",Former Employee ,Graduate research and teaching assistant,More than 5 years,0,"Great place to work and study, great environment and staff",There is no down sides in my opinion,,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-26,,,Former Employee ,"Great environment, salary hasn’t kept pace with local market",More than 8 years,0,"Awesome coworkers, great location, important mission","Salary, parking, some of the old buildings used for offices aren’t very well maintained",,4.0,5.0,4.0,3.0,2.0,3.0
2019-01-10,,,Former Employee ,Great,,0,"Depends on who you work with, my PI was great",None that i can think of,,5.0,,,,,
2019-01-10, Research Fellow,"Austin, TX",Current Employee ,Great Place for Research,More than 5 years,0,Great platform for research. Teachers are good.,Have to commute between two campuses.,,5.0,5.0,5.0,5.0,5.0,5.0
2019-01-25, Program Coordinator,"Austin, TX",Current Employee ,Good place to work,More than 3 years,0,"1. Great benefits
2. Nice co-workers
3. Access to tools I need to succeed","1. It can be very political and cliquey, but what job isn't?
2. Growing your career in one location means others don't always respect your new position. Still treated like I'm an entry level person by certain teams. A little tiring to constantly re-set those boundaries.",Learn about diversity and inclusion. Don't just say you care and then continue to be ignorant.,4.0,5.0,3.0,4.0,4.0,4.0
2019-01-17, Administrative Services Officer I,"Austin, TX",Current Employee ,"Mission driven, ethical leadership",More than 10 years,0,"mission focused - education, research, service","Organization is at the mercy of some external forces, such as appropriations",Keep listening and caring,4.0,4.0,4.0,3.0,4.0,4.0
2019-01-17, Research Engineer/Scientist Associate,"Austin, TX",Current Employee ,Academic research lab manager,Less than a year,0,Research environment is of high quality. Many innovative research programs ongoing which leads to a high level of intellectual collaboration. Relaxed atmosphere. Pretty good benefits.,"Parking is a problem. Use of University facilities (e.g. gym, pool) requires paying a fee.",Give staff better perks.,4.0,4.0,5.0,4.0,4.0,4.0
2019-01-01," Developer, Tutor, TA",,Former Employee ,Great,More than 3 years,0,"UT allowed me to take on ""real"" jobs while I was finishing up my degrees. I learned tons and was able to build my resume which helped me land a great job out of college.","Typical university job problems, co-workers aren't always motivated to work hard, red-tape gets in the way of certain things",,5.0,,,,,
2019-01-01, Tutor,"Austin, TX",Current Employee ,Tutor (Sanger Learning Center),Less than a year,0,"Flexible hours, good pay, can take weeks off if school is getting tough if letting boss know","15 hour cap per week, not good job if you need a large income.",,5.0,5.0,5.0,3.0,3.0,5.0
2019-01-15,,,Current Employee ,Typical adjunct position,Less than a year,0,"A lot of smart students, friendly faculty, freedom to teach the class as you see fit.","Adjuncts are paid lower than they should be, but UT is better than most.",,3.0,,,,,
2019-01-11,,,Current Employee ,Great University,,0,"payroll easy to set up, beautiful campus","bureaucracy is prevalent, hard to talk to management",,3.0,,,,,
2019-01-10,,,Current Employee ,Director of Operations,,0,"Brand recognition, location, state benefits","Disjointed departments/could be more collaboration, having to get approval for supplemental income",,4.0,3.0,3.0,3.0,3.0,3.0
2019-01-09,,,Former Employee ,Student Associate,,0,"Library had good perks, got to study while working the desk.",Some patrons at the library will be hard to deal with but it's just part of the job to assist them.,,4.0,,,,,
2019-01-07,,,Current Employee ,Great Place to Work,,0,"Work Life Balance, Good Benefits, Collaborative Environment","Organizational Hierarchy, Red Tape, Slow Processes",,4.0,5.0,4.0,3.0,4.0,4.0
2019-01-04, Graduate Research Assistant,"Austin, TX",Current Employee ,Graduate Research Assistant,More than 3 years,0,Flexible hours available for students,No account of hours in most places,,4.0,2.0,3.0,4.0,4.0,2.0
2019-01-05, Student Technical Assistant,"Austin, TX",Former Employee ,Great place for students to work!,More than a year,0,"Hours are adjusted around your schedule. Usually a laid-back job; you have to be motivated and willing to help when technical problems arise, but there are many times that you're just on standby and you can work on homework instead.","Most employees, if not everyone, have to take a 6am shift to check classrooms before classes start, everyday. Also if you're not good at talking to people or dealing with technical problems, this job might not be for you.",,4.0,5.0,5.0,3.0,5.0,4.0
2019-01-04,,,Current Employee ,Good Environment Low Pay,,0,Great office environment and a good place to grow,Parking is awful and expensive . There is also little room for movement,,4.0,5.0,4.0,3.0,5.0,3.0
2019-01-03,,,Current Employee ,"Good Benefits, Stratified Culture",,0,"Benefits, the idea of committing to something bigger than one's self, interesting things happening on campus at all times, the potential to move around when needing additional fulfillment.","Burdensome bureaucracy, soul-crushing micromanagement, TERRIBLE PARKING, the definite hierarchy between the ivory tower faculty, entitled students, and ""tolerated"" staff, leadership made of technical experts who are poor at leading and managing.",,3.0,3.0,3.0,3.0,3.0,2.0
2019-01-02, Study Abroad Program Coordinator,"Austin, TX",Current Employee ,"Great place to learn, but not to advance",More than 3 years,0,"Everyone generally likes the higher education environment as a place to grow and learn. UT attracts some great people because of its name, so my colleagues are pretty great, with unique experiences and perspectives. The students at UT are really great to work with and supervise, with rare exceptions. I have supervised quite a few in the office and they have almost all amazed me with their accomplishments. The International Office is good at what it does, by many measures, and has a long track record of successful programming in the International Office. It stands out among peer institutions and in the field of international education. Leadership tries to do their best for staff with budget constraints and workload (see below).","Everyone in education always jokes that the pay is bad, so you are there because you love it. But that is really the case in Texas. The pay is very low relative to comparable positions, and while UT tries to add other benefits, they aren't that competitive to make up for the salary, especially with rising inflation, cost of living in Austin, and the cost of insurance. There also aren't really any advancement strategies for entry or mid-level positions. Bureaucracy, state legislation, and budget constraints (real or constructed) result in no pay raises and little to no professional development. The International Office is in better shape than most other academic departments on campus, though, since it can utilize fees from programming. Leadership tends to get mired in the mindset that there are too many battles to fight, and improving salaries for staff is too hard a battle to fight with the university. The result is burn-out among staff and a revolving door, especially among entry-level staff. There seems to be relatively little strategic planning. It tries to justify what it does based on data, instead of planning what it should do based on data. When I applied, I made it clear that I was interested in growing with the organization and asked about prospects for advancement, and was mislead to think it was a possibility to advance. Later I discovered that in order to advance to a mid-management position, I needed to have had supervised full-level staff in my previous work experience. This essentially creates a barrier for any entry-level staff to grow, and means that they have to go somewhere else. The office loses their expertise and knowledge, and create perpetual problems with team workload and continually needing to train new staff. HR practices assume that previous experience in terms of years yields better candidates. It's like this in most places I have seen across higher education, but a better system of applying and interviewing that addresses fit and incorporates areas the candidate can grow and contribute.",Develop a strategic plan and cast a vision. Let all workers at all levels apply the plan to learning outcomes for their own work. Focus on the plan instead of numbers. Adjust salaries for cost of living. Develop different HR interviewing and onboarding processes.,3.0,5.0,4.0,1.0,2.0,3.0
2018-12-17,,,Current Employee ,Chemistry PhD Graduate Student,,0,"I love the atmosphere at UT. The students that I work with, the professor I work for, the project I work on and the opportunities available to me at UT are all incredible. These are definitely the best years of my life.",A PhD is hard work. It is stressful and easily requires over 60 hour work weeks. You have to be able to balance work and life as well as be passionate about your work in order to stay motivated.,,5.0,3.0,5.0,5.0,5.0,5.0
2018-12-14,,,Current Employee ,Graduate Research Assistant,,0,"Flexible time, understanding staff, good benefits","Low salary, Hard to find other graduate research assistant positions than graduate assistant positions",,5.0,,,,,
2018-12-09,,,Current Employee ,TA,,0,good Experience with many undergrad students.,The payment is not good enough.,,5.0,,,,,
2018-12-05,,,Current Employee ,Graduate Research Assistantship,,0,Good working environment and work ethic,Still new here so no cons,,5.0,4.0,5.0,5.0,4.0,4.0
2018-12-18,,,Current Employee ,Nice Chill Job,,0,"- Hours are pretty flexible
- you learn alot on the job
- sometimes you get special perks (free food, access to school software, etc.)",If you get placed on a team with a super serious manager it won't be enjoyable and you won't have free time,,4.0,5.0,5.0,3.0,3.0,4.0
2018-12-17,,,Current Employee ,Minimum Subsistence Level,More than 3 years,0,Workload is not that much,Salary is really too low,,3.0,3.0,3.0,1.0,2.0,3.0
2018-12-03,,,Current Employee ,graduate student,,0,good school to study engineering,small parking lots and traffic jams,,5.0,5.0,5.0,5.0,5.0,5.0
2018-12-14,,,Current Employee ,Postdoctoral Research Associate,,0,"Good facilities, such as the cleanroom",Administration can be slow at times,,4.0,4.0,3.0,4.0,3.0,3.0
2018-11-29, Computer Lab Assistant,"Austin, TX",Former Employee ,UT Flawn Academic Center Computer Lab Assistant,More than a year,0,"flexible hours, easy going & understanding supervisors, low stress job ideal for students",early hours necessary at times,"none, keep up the great work!",5.0,5.0,5.0,5.0,3.0,2.0
2018-11-30, Graduate Research Assistant,"Austin, TX",Current Employee ,Graduate Research assistant,More than 5 years,0,UT Austin is a great place to work,"Like all large universities, bureaucracy can be a problem",,5.0,4.0,5.0,4.0,5.0,5.0
2018-12-12,,,Current Employee ,Great people and start-up environment,,0,"Fast paced, learn new things everyday","Start-up is not for everyone, work politics can be a problem",,4.0,4.0,4.0,5.0,5.0,4.0
2018-11-26,,,Current Employee ,Love it,,0,"I've had a fantastic experience working for UT. I work remotely, my supervisor communicates well and is very inspiring.",I cannot think of anything to complain about.,,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-27,,,Current Employee ,Research Assistant,,0,"Good working environment
Great instrumental resources","Long working hours
Stressful paces
low pay",,5.0,3.0,5.0,5.0,5.0,4.0
2018-11-21,,,Current Employee ,Associate Tutor,,0,"Flexible hours, as most employees are students.",No full-time positions for students,,5.0,,,,,
2018-11-15,,,Former Employee ,research assoicate,,0,Knowledgeable group / a great city,I couldn't find any cons of the job.,,5.0,,,,,
2018-11-29,,,Former Employee ,Teaching Assistant,,0,"Good work environment
Professors and staff very friendly
Good benefits",Pay is not very good,,4.0,4.0,4.0,3.0,4.0,4.0
2018-11-13,,,Current Employee ,A great place to do math,,0,"Great community, flexible hours, low pressure, adequate funding",Some semesters teaching is required for funding,,5.0,5.0,5.0,4.0,2.0,2.0
2018-11-27,,,Current Employee ,RD at UT Review Job,,0,Great community and learning enviornment,Low pay and strict schedule,,4.0,4.0,3.0,5.0,3.0,3.0
2018-11-28,,,Current Employee ,Good place for a work-study program,,0,"Flexible hours, friendly staff, and a good opportunity to study while interacting with future engineers.",Air quality issues in machine shop. Serious enough for machinists working full time to raise issues with the university.,Get air levels fixed ASAP. Potential for lawsuits.,4.0,5.0,5.0,4.0,5.0,2.0
2018-11-12,,,Current Employee ,Development Specialist,,0,"Good people, good work, good atmosphere","Low salary, government paperwork and policies",,5.0,,,,,
2018-11-12,,,Current Employee ,Teaching Assistant,,0,get to talk with students,concurrent with other course work,,5.0,5.0,5.0,5.0,5.0,5.0
2018-11-26, Graduate Research Assistant,,Current Employee ,CNS Graduate Student,More than 5 years,0,Extensive options for interdisciplinary work,Graduate education is not prioritized in a meaningful way. Several research-inactive faculty within the physics department. Low graduate student pay.,,3.0,3.0,2.0,3.0,2.0,2.0
2018-11-26,,,Current Employee ,"Very low pay, but very secure",More than 3 years,0,"- Very secure unless your entire department disappears, but they try to place you elsewhere,
- Great benefits, PTO, holiday and set schedule
- Easy commute, but can be very long depending on where you live.
- Great food options, but you can't afford them on your pay.","- Very low pay as a staff member.
- Virtually no negotiation power during hiring process.
- Subject to state leg funding as well as internal University funding.
- Employee retention is not important.
- Very backwards and ""stuck"" in certain ways of doing things, resistant to innovation and change
- Hit or miss on level of stress, many employees are former academics and do not have ""real world"" employment experience.","It is impossible to live within a comfortable commute AND be a staff member at UT. For as much advertising that tries to detail and celebrate how great UT is, the university does very little to enrich the daily lives of its employees. We can't afford to live and eat in Austin, and it is soul crushing to have a two hour commute for $35k.

Staff are either recent graduates who use UT as a stepping stone to employment elsewhere; are long time employees who have a significant other with higher pay; supplement their income with another part-time or full-time job; or retire early.",3.0,2.0,4.0,4.0,1.0,2.0
2018-11-11, Graduate Research Assistant,"Austin, TX",Current Employee ,Wonderful Place to Grow,More than a year,0,"research work is great, many skills to learn, self-motivated learning encouraged",not a lot of management in research projects - professors are busy,train senior grad students to be managers of projects or hire project managers,5.0,5.0,5.0,3.0,3.0,3.0
2018-11-08,,,Current Employee ,Great university,,0,Great campus to work at.,Traffic can be bad to and from work.,,5.0,5.0,5.0,5.0,5.0,5.0
